Valoare pixel,Clasa pixel,Average threshold,Midrange threshold,White threshold,Bernsen threshold,Niblack threshold,Sauvola threshold,Wolf threshold,Phansalkar threshold,Nick threshold,Gaussian threshold
0.94902,0,0.939192,0.047928,0.469596,0.047928,0.935612,0.486341,0.469596,0.712956,0.75135,0.937174
0.835294,0,0.818073,0.017716,0.409037,0.5,0.815665,0.418849,0.409037,0.618939,0.654596,0.819132
1,0,0.974893,0.047512,0.487446,0.047512,0.967696,0.522391,0.487446,0.748824,0.779806,0.991076
0.752941,0,0.709002,0.25494,0.354501,0.25494,0.683024,0.446234,0.354501,0.57898,0.565152,0.700654
0.945098,0,0.937596,0.04193,0.468798,0.04193,0.933894,0.486084,0.468798,0.712033,0.750109,0.93953
0.952941,0,0.866076,0.276086,0.433038,0.276086,0.83261,0.577394,0.433038,0.722318,0.689736,0.896215
0.25098,1,0.760751,0.297893,0.380375,0.297893,0.730296,0.495765,0.380375,0.62924,0.6056,0.737621
0.898039,0,0.863276,0.061115,0.431638,0.061115,0.857748,0.455404,0.431638,0.659694,0.690622,0.862743
0.870588,0,0.816534,0.283583,0.408267,0.283583,0.785626,0.533963,0.408267,0.67596,0.650368,0.823163
0.360784,1,0.784971,0.306159,0.392485,0.306159,0.749953,0.529388,0.392485,0.65806,0.624138,0.749354
0.415686,1,0.858797,0.290204,0.429398,0.290204,0.825096,0.573543,0.429398,0.716773,0.683784,0.811625
0.909804,0,0.916738,0.057993,0.458369,0.057993,0.911179,0.483749,0.458369,0.700485,0.733332,0.911267
0.815686,0,0.771066,0.263583,0.385533,0.263583,0.742712,0.494422,0.385533,0.633648,0.614358,0.811067
0.878431,0,0.801158,0.305367,0.400579,0.305367,0.766555,0.53865,0.400579,0.670706,0.637255,0.838563
0.945098,0,0.917591,0.072165,0.458796,0.072165,0.911028,0.488791,0.458796,0.70344,0.733991,0.915477
0.921569,0,0.812319,0.295632,0.40616,0.295632,0.775104,0.556723,0.40616,0.685298,0.64572,0.832441
0.858824,0,0.86278,0.013787,0.43139,0.5,0.860845,0.439706,0.43139,0.651568,0.690597,0.863559
0.760784,0,0.674703,0.279715,0.337352,0.279715,0.638534,0.458893,0.337352,0.568621,0.535042,0.705761
0.941176,0,0.961733,0.044483,0.480867,0.044483,0.958361,0.497019,0.480867,0.729536,0.769386,0.958646
0.968627,0,0.966678,0.029512,0.483339,0.029512,0.963616,0.498083,0.483339,0.732532,0.773355,0.968369
0.933333,0,0.884771,0.087597,0.442385,0.087597,0.877862,0.472827,0.442385,0.679113,0.707709,0.892011
